Name,Start,Duration,Delay,Tasks,Cost,Result
Sim0,0,1500,0,3,0,Some([Simulation Aborted])
Sim1,15,1485,0,6,0,Some([Simulation Aborted])
Sim10,150,1350,10,6,0,Some([Simulation Aborted])
Sim11,165,1335,10,9,0,Some([Simulation Aborted])
Sim12,180,1320,5,3,0,Some([Simulation Aborted])
Sim13,195,1305,0,9,0,Some([Simulation Aborted])
Sim14,210,1290,5,3,0,Some([Simulation Aborted])
Sim15,225,1275,15,12,0,Some([Simulation Aborted])
Sim16,240,1260,10,12,0,Some([Simulation Aborted])
Sim17,255,1245,30,18,0,Some([Simulation Aborted])
Sim18,270,1230,25,12,0,Some([Simulation Aborted])
Sim19,285,1215,5,3,0,Some([Simulation Aborted])
Sim2,30,1470,5,9,0,Some([Simulation Aborted])
Sim20,300,1200,15,6,0,Some([Simulation Aborted])
Sim21,315,1185,5,3,0,Some([Simulation Aborted])
Sim22,330,1170,5,3,0,Some([Simulation Aborted])
Sim23,345,1155,5,3,0,Some([Simulation Aborted])
Sim24,360,1140,5,3,0,Some([Simulation Aborted])
Sim25,375,1125,0,6,0,Some([Simulation Aborted])
Sim26,390,1110,5,3,0,Some([Simulation Aborted])
Sim27,405,1095,45,30,0,Some([Simulation Aborted])
Sim28,420,1080,35,18,0,Some([Simulation Aborted])
Sim29,435,1065,10,6,0,Some([Simulation Aborted])
Sim3,45,1455,0,3,0,Some([Simulation Aborted])
Sim30,450,1050,15,6,0,Some([Simulation Aborted])
Sim31,465,1035,30,12,0,Some([Simulation Aborted])
Sim32,480,1020,10,3,0,Some([Simulation Aborted])
Sim33,495,1005,10,3,0,Some([Simulation Aborted])
Sim34,510,990,20,6,0,Some([Simulation Aborted])
Sim35,525,975,10,3,0,Some([Simulation Aborted])
Sim36,540,960,15,15,0,Some([Simulation Aborted])
Sim37,555,945,5,3,0,Some([Simulation Aborted])
Sim38,570,930,10,6,0,Some([Simulation Aborted])
Sim39,585,915,5,3,0,Some([Simulation Aborted])
Sim4,60,1440,0,3,0,Some([Simulation Aborted])
Sim40,600,900,5,3,0,Some([Simulation Aborted])
Sim41,615,885,5,3,0,Some([Simulation Aborted])
Sim42,630,870,0,3,0,Some([Simulation Aborted])
Sim43,645,855,0,3,0,Some([Simulation Aborted])
Sim44,660,840,0,9,0,Some([Simulation Aborted])
Sim45,675,825,10,15,0,Some([Simulation Aborted])
Sim46,690,810,5,6,0,Some([Simulation Aborted])
Sim47,705,795,0,12,0,Some([Simulation Aborted])
Sim48,720,780,5,3,0,Some([Simulation Aborted])
