Name,Start,Duration,Delay,Tasks,Cost,Result
Sim0,0,4000,0,3,0,Some([Simulation Aborted])
Sim1,40,15,0,3,0,Some(object scala.Unit)
Sim10,400,15,0,3,0,Some(object scala.Unit)
Sim11,440,3560,0,3,0,Some([Simulation Aborted])
Sim12,480,3520,0,3,0,Some([Simulation Aborted])
Sim13,520,15,0,3,0,Some(object scala.Unit)
Sim14,560,3440,0,3,0,Some([Simulation Aborted])
Sim15,600,3400,0,3,0,Some([Simulation Aborted])
Sim16,640,3360,0,3,0,Some([Simulation Aborted])
Sim17,680,15,0,3,0,Some(object scala.Unit)
Sim18,720,3280,0,3,0,Some([Simulation Aborted])
Sim19,760,3240,0,3,0,Some([Simulation Aborted])
Sim2,80,3920,0,3,0,Some([Simulation Aborted])
Sim20,800,3200,0,3,0,Some([Simulation Aborted])
Sim21,840,3160,0,3,0,Some([Simulation Aborted])
Sim22,880,3120,0,3,0,Some([Simulation Aborted])
Sim23,920,15,0,3,0,Some(object scala.Unit)
Sim24,960,15,0,3,0,Some(object scala.Unit)
Sim25,1000,15,0,3,0,Some(object scala.Unit)
Sim26,1040,15,0,3,0,Some(object scala.Unit)
Sim27,1080,2920,0,3,0,Some([Simulation Aborted])
Sim28,1120,2880,0,3,0,Some([Simulation Aborted])
Sim29,1160,15,0,3,0,Some(object scala.Unit)
Sim3,120,15,0,3,0,Some(object scala.Unit)
Sim30,1200,15,0,3,0,Some(object scala.Unit)
Sim31,1240,2760,0,3,0,Some([Simulation Aborted])
Sim32,1280,15,0,3,0,Some(object scala.Unit)
Sim33,1320,2680,0,3,0,Some([Simulation Aborted])
Sim34,1360,2640,0,3,0,Some([Simulation Aborted])
Sim35,1400,2600,0,3,0,Some([Simulation Aborted])
Sim36,1440,15,0,3,0,Some(object scala.Unit)
Sim37,1480,2520,0,3,0,Some([Simulation Aborted])
Sim38,1520,2480,0,3,0,Some([Simulation Aborted])
Sim39,1560,2440,0,3,0,Some([Simulation Aborted])
Sim4,160,3840,0,3,0,Some([Simulation Aborted])
Sim40,1600,15,0,3,0,Some(object scala.Unit)
Sim41,1640,2360,0,3,0,Some([Simulation Aborted])
Sim42,1680,15,0,3,0,Some(object scala.Unit)
Sim43,1720,2280,0,3,0,Some([Simulation Aborted])
Sim44,1760,15,0,3,0,Some(object scala.Unit)
Sim45,1800,15,0,3,0,Some(object scala.Unit)
Sim46,1840,2160,0,3,0,Some([Simulation Aborted])
Sim47,1880,2120,0,3,0,Some([Simulation Aborted])
Sim48,1920,15,0,3,0,Some(object scala.Unit)
Sim49,1960,15,0,3,0,Some(object scala.Unit)
Sim5,200,15,0,3,0,Some(object scala.Unit)
Sim50,2000,2000,0,3,0,Some([Simulation Aborted])
Sim51,2040,1960,0,3,0,Some([Simulation Aborted])
Sim52,2080,15,0,3,0,Some(object scala.Unit)
Sim53,2120,15,0,3,0,Some(object scala.Unit)
Sim54,2160,15,0,3,0,Some(object scala.Unit)
Sim55,2200,15,0,3,0,Some(object scala.Unit)
Sim56,2240,15,0,3,0,Some(object scala.Unit)
Sim57,2280,1720,0,3,0,Some([Simulation Aborted])
Sim58,2320,15,0,3,0,Some(object scala.Unit)
Sim59,2360,15,0,3,0,Some(object scala.Unit)
Sim6,240,15,0,3,0,Some(object scala.Unit)
Sim60,2400,15,0,3,0,Some(object scala.Unit)
Sim61,2440,1560,0,3,0,Some([Simulation Aborted])
Sim62,2480,1520,0,3,0,Some([Simulation Aborted])
Sim63,2520,1480,0,3,0,Some([Simulation Aborted])
Sim64,2560,15,0,3,0,Some(object scala.Unit)
Sim65,2600,15,0,3,0,Some(object scala.Unit)
Sim66,2640,1360,0,3,0,Some([Simulation Aborted])
Sim67,2680,1320,0,3,0,Some([Simulation Aborted])
Sim68,2720,15,0,3,0,Some(object scala.Unit)
Sim69,2760,1240,0,3,0,Some([Simulation Aborted])
Sim7,280,3720,0,3,0,Some([Simulation Aborted])
Sim70,2800,1200,0,3,0,Some([Simulation Aborted])
Sim71,2840,15,0,3,0,Some(object scala.Unit)
Sim72,2880,1120,0,3,0,Some([Simulation Aborted])
Sim73,2920,15,0,3,0,Some(object scala.Unit)
Sim74,2960,15,0,3,0,Some(object scala.Unit)
Sim75,3000,15,0,3,0,Some(object scala.Unit)
Sim76,3040,15,0,3,0,Some(object scala.Unit)
Sim77,3080,15,0,3,0,Some(object scala.Unit)
Sim78,3120,15,0,3,0,Some(object scala.Unit)
Sim79,3160,15,0,3,0,Some(object scala.Unit)
Sim8,320,3680,0,3,0,Some([Simulation Aborted])
Sim80,3200,15,0,3,0,Some(object scala.Unit)
Sim81,3240,15,0,3,0,Some(object scala.Unit)
Sim82,3280,720,0,3,0,Some([Simulation Aborted])
Sim83,3320,680,0,3,0,Some([Simulation Aborted])
Sim84,3360,640,0,3,0,Some([Simulation Aborted])
Sim85,3400,15,0,3,0,Some(object scala.Unit)
Sim86,3440,560,0,3,0,Some([Simulation Aborted])
Sim87,3480,15,0,3,0,Some(object scala.Unit)
Sim88,3520,480,0,3,0,Some([Simulation Aborted])
Sim89,3560,15,0,3,0,Some(object scala.Unit)
Sim9,360,3640,0,3,0,Some([Simulation Aborted])
Sim90,3600,15,0,3,0,Some(object scala.Unit)
Sim91,3640,360,0,3,0,Some([Simulation Aborted])
Sim92,3680,320,0,3,0,Some([Simulation Aborted])
Sim93,3720,280,0,3,0,Some([Simulation Aborted])
Sim94,3760,15,0,3,0,Some(object scala.Unit)
Sim95,3800,15,0,3,0,Some(object scala.Unit)
Sim96,3840,160,0,3,0,Some([Simulation Aborted])
Sim97,3880,120,0,3,0,Some([Simulation Aborted])
Sim98,3920,15,0,3,0,Some(object scala.Unit)
Sim99,3960,15,0,3,0,Some(object scala.Unit)
