Name,Start,Duration,Delay,Tasks,Cost,Result
Sim0,0,15,0,5,0,Some(object scala.Unit)
Sim1,50,35,0,17,0,Some(object scala.Unit)
Sim10,500,15,0,5,0,Some(object scala.Unit)
Sim11,550,20,0,8,0,Some(object scala.Unit)
Sim12,600,45,0,23,0,Some(object scala.Unit)
Sim13,650,15,0,5,0,Some(object scala.Unit)
Sim14,700,20,0,8,0,Some(object scala.Unit)
Sim15,750,15,0,5,0,Some(object scala.Unit)
Sim16,800,15,0,5,0,Some(object scala.Unit)
Sim17,850,15,0,5,0,Some(object scala.Unit)
Sim18,900,15,0,5,0,Some(object scala.Unit)
Sim19,950,20,0,8,0,Some(object scala.Unit)
Sim2,100,20,0,8,0,Some(object scala.Unit)
Sim20,1000,15,0,5,0,Some(object scala.Unit)
Sim21,1050,25,0,11,0,Some(object scala.Unit)
Sim22,1100,20,0,8,0,Some(object scala.Unit)
Sim23,1150,15,0,5,0,Some(object scala.Unit)
Sim24,1200,15,0,5,0,Some(object scala.Unit)
Sim25,1250,15,0,5,0,Some(object scala.Unit)
Sim26,1300,35,0,17,0,Some(object scala.Unit)
Sim27,1350,15,0,5,0,Some(object scala.Unit)
Sim28,1400,15,0,5,0,Some(object scala.Unit)
Sim29,1450,20,0,8,0,Some(object scala.Unit)
Sim3,150,30,0,14,0,Some(object scala.Unit)
Sim30,1500,20,0,8,0,Some(object scala.Unit)
Sim31,1550,15,0,5,0,Some(object scala.Unit)
Sim32,1600,15,0,5,0,Some(object scala.Unit)
Sim33,1650,30,0,14,0,Some(object scala.Unit)
Sim34,1700,20,0,8,0,Some(object scala.Unit)
Sim35,1750,15,0,5,0,Some(object scala.Unit)
Sim36,1800,15,0,5,0,Some(object scala.Unit)
Sim37,1850,20,0,8,0,Some(object scala.Unit)
Sim38,1900,15,0,5,0,Some(object scala.Unit)
Sim39,1950,25,0,11,0,Some(object scala.Unit)
Sim4,200,25,0,11,0,Some(object scala.Unit)
Sim40,2000,25,0,11,0,Some(object scala.Unit)
Sim41,2050,25,0,11,0,Some(object scala.Unit)
Sim42,2100,25,0,11,0,Some(object scala.Unit)
Sim43,2150,25,0,11,0,Some(object scala.Unit)
Sim44,2200,25,0,11,0,Some(object scala.Unit)
Sim45,2250,25,0,11,0,Some(object scala.Unit)
