Name,Start,Duration,Delay,Tasks,Cost,Result
Sim0,0,15,10,3,0,Some(object scala.Unit)
Sim1,15,15,10,3,0,Some(object scala.Unit)
Sim10,150,15,10,3,0,Some(object scala.Unit)
Sim11,165,15,10,3,0,Some(object scala.Unit)
Sim12,180,15,5,3,0,Some(object scala.Unit)
Sim13,195,15,10,3,0,Some(object scala.Unit)
Sim14,210,15,10,3,0,Some(object scala.Unit)
Sim15,225,15,10,3,0,Some(object scala.Unit)
Sim16,240,15,10,3,0,Some(object scala.Unit)
Sim17,255,15,10,3,0,Some(object scala.Unit)
Sim18,270,15,10,3,0,Some(object scala.Unit)
Sim19,285,15,5,3,0,Some(object scala.Unit)
Sim2,30,15,10,3,0,Some(object scala.Unit)
Sim20,300,15,5,3,0,Some(object scala.Unit)
Sim21,315,15,10,3,0,Some(object scala.Unit)
Sim22,330,15,10,3,0,Some(object scala.Unit)
Sim23,345,15,10,3,0,Some(object scala.Unit)
Sim24,360,15,5,3,0,Some(object scala.Unit)
Sim25,375,15,5,3,0,Some(object scala.Unit)
Sim26,390,15,5,3,0,Some(object scala.Unit)
Sim27,405,15,5,3,0,Some(object scala.Unit)
Sim28,420,15,10,3,0,Some(object scala.Unit)
Sim29,435,15,10,3,0,Some(object scala.Unit)
Sim3,45,15,10,3,0,Some(object scala.Unit)
Sim30,450,15,5,3,0,Some(object scala.Unit)
Sim31,465,15,5,3,0,Some(object scala.Unit)
Sim32,480,15,10,3,0,Some(object scala.Unit)
Sim33,495,15,5,3,0,Some(object scala.Unit)
Sim34,510,15,5,3,0,Some(object scala.Unit)
Sim35,525,15,5,3,0,Some(object scala.Unit)
Sim36,540,15,5,3,0,Some(object scala.Unit)
Sim37,555,15,5,3,0,Some(object scala.Unit)
Sim38,570,15,10,3,0,Some(object scala.Unit)
Sim39,585,15,5,3,0,Some(object scala.Unit)
Sim4,60,15,5,3,0,Some(object scala.Unit)
Sim40,600,15,10,3,0,Some(object scala.Unit)
Sim41,615,15,5,3,0,Some(object scala.Unit)
Sim42,630,15,10,3,0,Some(object scala.Unit)
Sim43,645,15,10,3,0,Some(object scala.Unit)
Sim44,660,15,5,3,0,Some(object scala.Unit)
Sim45,675,15,10,3,0,Some(object scala.Unit)
Sim46,690,15,10,3,0,Some(object scala.Unit)
Sim47,705,15,5,3,0,Some(object scala.Unit)
Sim48,720,15,10,3,0,Some(object scala.Unit)
Sim49,735,15,10,3,0,Some(object scala.Unit)
Sim5,75,15,10,3,0,Some(object scala.Unit)
Sim50,750,15,5,3,0,Some(object scala.Unit)
Sim51,765,15,10,3,0,Some(object scala.Unit)
Sim52,780,15,10,3,0,Some(object scala.Unit)
Sim53,795,15,5,3,0,Some(object scala.Unit)
Sim54,810,15,5,3,0,Some(object scala.Unit)
Sim55,825,15,10,3,0,Some(object scala.Unit)
Sim56,840,15,10,3,0,Some(object scala.Unit)
Sim57,855,15,5,3,0,Some(object scala.Unit)
Sim58,870,15,10,3,0,Some(object scala.Unit)
Sim59,885,15,5,3,0,Some(object scala.Unit)
Sim6,90,15,10,3,0,Some(object scala.Unit)
Sim60,900,15,10,3,0,Some(object scala.Unit)
Sim61,915,15,5,3,0,Some(object scala.Unit)
Sim62,930,15,10,3,0,Some(object scala.Unit)
Sim63,945,15,10,3,0,Some(object scala.Unit)
Sim64,960,15,10,3,0,Some(object scala.Unit)
Sim65,975,15,10,3,0,Some(object scala.Unit)
Sim66,990,15,10,3,0,Some(object scala.Unit)
Sim67,1005,15,5,3,0,Some(object scala.Unit)
Sim68,1020,15,5,3,0,Some(object scala.Unit)
Sim69,1035,15,5,3,0,Some(object scala.Unit)
Sim7,105,15,10,3,0,Some(object scala.Unit)
Sim70,1050,15,10,3,0,Some(object scala.Unit)
Sim71,1065,15,10,3,0,Some(object scala.Unit)
Sim72,1080,15,5,3,0,Some(object scala.Unit)
Sim73,1095,15,10,3,0,Some(object scala.Unit)
Sim74,1110,15,5,3,0,Some(object scala.Unit)
Sim75,1125,15,10,3,0,Some(object scala.Unit)
Sim76,1140,15,10,3,0,Some(object scala.Unit)
Sim77,1155,15,5,3,0,Some(object scala.Unit)
Sim78,1170,15,5,3,0,Some(object scala.Unit)
Sim79,1185,15,10,3,0,Some(object scala.Unit)
Sim8,120,15,5,3,0,Some(object scala.Unit)
Sim80,1200,15,5,3,0,Some(object scala.Unit)
Sim81,1215,15,10,3,0,Some(object scala.Unit)
Sim82,1230,15,10,3,0,Some(object scala.Unit)
Sim83,1245,15,10,3,0,Some(object scala.Unit)
Sim84,1260,15,5,3,0,Some(object scala.Unit)
Sim85,1275,15,10,3,0,Some(object scala.Unit)
Sim86,1290,15,10,3,0,Some(object scala.Unit)
Sim87,1305,15,5,3,0,Some(object scala.Unit)
Sim88,1320,15,10,3,0,Some(object scala.Unit)
Sim89,1335,15,10,3,0,Some(object scala.Unit)
Sim9,135,15,5,3,0,Some(object scala.Unit)
Sim90,1350,15,5,3,0,Some(object scala.Unit)
Sim91,1365,15,5,3,0,Some(object scala.Unit)
Sim92,1380,15,5,3,0,Some(object scala.Unit)
Sim93,1395,15,5,3,0,Some(object scala.Unit)
Sim94,1410,15,5,3,0,Some(object scala.Unit)
Sim95,1425,15,5,3,0,Some(object scala.Unit)
Sim96,1440,15,5,3,0,Some(object scala.Unit)
Sim97,1455,15,10,3,0,Some(object scala.Unit)
Sim98,1470,15,10,3,0,Some(object scala.Unit)
Sim99,1485,15,5,3,0,Some([Simulation Aborted])
