Name,Start,Duration,Delay,Tasks,Cost,Result
Sim0,0,20,10,3,0,Some(object scala.Unit)
Sim1,15,40,35,3,0,Some(object scala.Unit)
Sim10,150,115,145,3,0,Some(object scala.Unit)
Sim11,165,135,165,3,0,Some(object scala.Unit)
Sim12,180,140,175,3,0,Some(object scala.Unit)
Sim13,195,145,185,3,0,Some(object scala.Unit)
Sim14,210,150,195,3,0,Some(object scala.Unit)
Sim15,225,155,200,3,0,Some(object scala.Unit)
Sim16,240,170,220,3,0,Some(object scala.Unit)
Sim17,255,180,235,3,0,Some(object scala.Unit)
Sim18,270,185,245,3,0,Some(object scala.Unit)
Sim19,285,205,270,3,0,Some(object scala.Unit)
Sim2,30,45,40,3,0,Some(object scala.Unit)
Sim20,300,210,280,3,0,Some(object scala.Unit)
Sim21,315,215,285,3,0,Some(object scala.Unit)
Sim22,330,220,295,3,0,Some(object scala.Unit)
Sim23,345,240,320,3,0,Some(object scala.Unit)
Sim24,360,245,330,3,0,Some(object scala.Unit)
Sim25,375,250,335,3,0,Some(object scala.Unit)
Sim26,390,255,345,3,0,Some(object scala.Unit)
Sim27,405,275,370,3,0,Some(object scala.Unit)
Sim28,420,280,380,3,0,Some(object scala.Unit)
Sim29,435,285,390,3,0,Some(object scala.Unit)
Sim3,45,50,50,3,0,Some(object scala.Unit)
Sim30,450,290,395,3,0,Some(object scala.Unit)
Sim31,465,305,415,3,0,Some(object scala.Unit)
Sim32,480,315,430,3,0,Some(object scala.Unit)
Sim33,495,320,440,3,0,Some(object scala.Unit)
Sim34,510,340,465,3,0,Some(object scala.Unit)
Sim35,525,345,470,3,0,Some(object scala.Unit)
Sim36,540,350,480,3,0,Some(object scala.Unit)
Sim37,555,355,490,3,0,Some(object scala.Unit)
Sim38,570,370,510,3,0,Some(object scala.Unit)
Sim39,585,380,525,3,0,Some(object scala.Unit)
Sim4,60,70,75,3,0,Some(object scala.Unit)
Sim40,600,385,530,3,0,Some(object scala.Unit)
Sim41,615,390,540,3,0,Some(object scala.Unit)
Sim42,630,410,565,3,0,Some(object scala.Unit)
Sim43,645,415,575,3,0,Some(object scala.Unit)
Sim44,660,420,580,3,0,Some(object scala.Unit)
Sim45,675,425,590,3,0,Some(object scala.Unit)
Sim46,690,440,610,3,0,Some(object scala.Unit)
Sim47,705,450,625,3,0,Some(object scala.Unit)
Sim48,720,455,635,3,0,Some(object scala.Unit)
Sim49,735,470,650,3,0,Some(object scala.Unit)
Sim5,75,75,85,3,0,Some(object scala.Unit)
Sim50,750,475,660,3,0,Some(object scala.Unit)
Sim51,765,485,675,3,0,Some(object scala.Unit)
Sim52,780,490,685,3,0,Some(object scala.Unit)
Sim53,795,505,705,3,0,Some(object scala.Unit)
Sim54,810,510,710,3,0,Some(object scala.Unit)
Sim55,825,520,725,3,0,Some(object scala.Unit)
Sim56,840,525,735,3,0,Some(object scala.Unit)
Sim57,855,540,755,3,0,Some(object scala.Unit)
Sim58,870,550,770,3,0,Some(object scala.Unit)
Sim59,885,555,775,3,0,Some(object scala.Unit)
Sim6,90,80,90,3,0,Some(object scala.Unit)
Sim60,900,560,785,3,0,Some(object scala.Unit)
Sim61,915,575,805,3,0,Some(object scala.Unit)
Sim62,930,570,500,2,0,Some([Simulation Aborted])
Sim63,945,555,505,2,0,Some([Simulation Aborted])
Sim64,960,540,515,2,0,Some([Simulation Aborted])
Sim65,975,525,520,2,0,Some([Simulation Aborted])
Sim66,990,510,530,2,0,Some([Simulation Aborted])
Sim67,1005,495,540,2,0,Some([Simulation Aborted])
Sim68,1020,480,545,2,0,Some([Simulation Aborted])
Sim69,1035,465,555,2,0,Some([Simulation Aborted])
Sim7,105,85,100,3,0,Some(object scala.Unit)
Sim70,1050,450,560,2,0,Some([Simulation Aborted])
Sim71,1065,435,570,2,0,Some([Simulation Aborted])
Sim72,1080,420,580,2,0,Some([Simulation Aborted])
Sim73,1095,405,585,2,0,Some([Simulation Aborted])
Sim74,1110,390,590,2,0,Some([Simulation Aborted])
Sim75,1125,375,600,2,0,Some([Simulation Aborted])
Sim76,1140,360,610,2,0,Some([Simulation Aborted])
Sim77,1155,345,620,2,0,Some([Simulation Aborted])
Sim78,1170,330,625,2,0,Some([Simulation Aborted])
Sim79,1185,315,310,1,0,Some([Simulation Aborted])
Sim8,120,100,120,3,0,Some(object scala.Unit)
Sim80,1200,300,0,0,0,Some([Simulation Aborted])
Sim81,1215,285,0,0,0,Some([Simulation Aborted])
Sim82,1230,270,0,0,0,Some([Simulation Aborted])
Sim83,1245,255,0,0,0,Some([Simulation Aborted])
Sim84,1260,240,0,0,0,Some([Simulation Aborted])
Sim85,1275,225,0,0,0,Some([Simulation Aborted])
Sim86,1290,210,0,0,0,Some([Simulation Aborted])
Sim87,1305,195,0,0,0,Some([Simulation Aborted])
Sim88,1320,180,0,0,0,Some([Simulation Aborted])
Sim89,1335,165,0,0,0,Some([Simulation Aborted])
Sim9,135,110,135,3,0,Some(object scala.Unit)
Sim90,1350,150,0,0,0,Some([Simulation Aborted])
Sim91,1365,135,0,0,0,Some([Simulation Aborted])
Sim92,1380,120,0,0,0,Some([Simulation Aborted])
Sim93,1395,105,0,0,0,Some([Simulation Aborted])
Sim94,1410,90,0,0,0,Some([Simulation Aborted])
Sim95,1425,75,0,0,0,Some([Simulation Aborted])
Sim96,1440,60,0,0,0,Some([Simulation Aborted])
Sim97,1455,45,0,0,0,Some([Simulation Aborted])
Sim98,1470,30,0,0,0,Some([Simulation Aborted])
Sim99,1485,15,0,0,0,Some([Simulation Aborted])
