Name,Busy,Idle,Tasks,Cost
r2,34,8,7,0.0
r3,31,11,7,0.0
r1,15,6,4,0.0
r2,7,14,2,0.0
r3,21,0,4,0.0
r1,23,42,4,0.0
r2,48,17,7,0.0
r3,51,14,8,0.0
r1,17,14,3,0.0
r2,29,2,6,0.0
r3,26,5,6,0.0
r1,14,21,3,0.0
r2,35,0,7,0.0
r3,18,17,4,0.0
r1,12,13,4,0.0
r2,22,3,5,0.0
r3,24,1,6,0.0
r1,9,11,2,0.0
r2,18,2,4,0.0
r3,11,9,3,0.0
r1,45,0,7,0.0
r2,18,27,4,0.0
r3,28,17,5,0.0
r1,7,26,3,0.0
r2,33,0,8,0.0
r3,25,8,6,0.0
r1,12,19,2,0.0
r2,31,0,4,0.0
r3,30,1,4,0.0
r1,30,6,5,0.0
r2,22,14,4,0.0
r3,18,18,4,0.0
r1,29,22,5,0.0
r2,35,16,6,0.0
r3,25,26,4,0.0
r1,18,9,5,0.0
r2,15,12,4,0.0
r3,25,2,6,0.0
r1,20,7,4,0.0
r2,20,7,4,0.0
r3,18,9,3,0.0
r1,33,6,6,0.0
r2,26,13,6,0.0
r3,19,20,3,0.0
r1,22,6,6,0.0
r2,22,6,6,0.0
r3,14,14,4,0.0
r1,15,32,2,0.0
r2,43,4,6,0.0
r3,23,24,4,0.0
r1,10,14,3,0.0
r2,24,0,6,0.0
r3,20,4,5,0.0
r1,21,18,4,0.0
r2,18,21,3,0.0
r3,35,4,6,0.0
r1,39,13,7,0.0
r2,34,18,5,0.0
r3,20,32,5,0.0
r1,35,10,7,0.0
r2,39,6,8,0.0
r3,26,19,4,0.0
r1,14,12,3,0.0
r2,19,7,4,0.0
r3,26,0,4,0.0
r1,9,14,2,0.0
r2,23,0,4,0.0
r3,10,13,2,0.0
r1,20,22,5,0.0
r2,26,16,5,0.0
r3,34,8,6,0.0
r1,35,19,5,0.0
r2,18,36,2,0.0
r3,46,8,6,0.0
r1,15,5,4,0.0
r2,20,0,5,0.0
r3,20,0,5,0.0
r1,42,21,6,0.0
r2,50,13,7,0.0
r3,44,19,7,0.0
r1,41,12,6,0.0
r2,35,18,6,0.0
r3,30,23,5,0.0
r1,27,15,4,0.0
r2,35,7,5,0.0
r3,31,11,4,0.0
r1,20,8,4,0.0
r2,12,16,2,0.0
r3,28,0,6,0.0
r1,21,19,4,0.0
r2,32,8,8,0.0
r3,23,17,6,0.0
r1,33,0,7,0.0
r2,31,2,6,0.0
r3,30,3,5,0.0
r1,6,46,2,0.0
r2,48,4,8,0.0
r3,35,17,7,0.0
r1,14,24,4,0.0
r2,34,4,6,0.0
r3,38,0,8,0.0
r1,27,16,5,0.0
r2,34,9,6,0.0
r3,28,15,4,0.0
r1,42,0,9,0.0
r2,25,17,5,0.0
r3,30,12,6,0.0
r1,62,1,9,0.0
r2,48,15,7,0.0
r3,47,16,8,0.0
r1,30,2,7,0.0
r2,17,15,4,0.0
r3,21,11,5,0.0
r1,34,11,6,0.0
r2,36,9,6,0.0
r3,33,12,5,0.0
r1,41,8,7,0.0
r2,37,12,7,0.0
r3,25,24,4,0.0
r1,40,6,6,0.0
r2,33,13,5,0.0
r3,40,6,6,0.0
r1,21,3,5,0.0
r2,21,3,5,0.0
r3,16,8,4,0.0
r1,46,9,7,0.0
r2,27,28,5,0.0
r3,55,0,8,0.0
r1,16,16,4,0.0
r2,26,6,7,0.0
r3,30,2,7,0.0
r1,31,5,5,0.0
r2,27,9,6,0.0
r3,6,30,2,0.0
r1,23,16,5,0.0
r2,31,8,6,0.0
r3,39,0,7,0.0
r1,47,0,8,0.0
r2,34,13,7,0.0
r3,25,22,3,0.0
r1,40,14,6,0.0
r2,51,3,7,0.0
r3,28,26,4,0.0
r1,46,2,8,0.0
r2,23,25,4,0.0
r3,38,10,7,0.0
r1,25,15,4,0.0
r2,28,12,7,0.0
r3,32,8,7,0.0
r1,10,14,2,0.0
r2,24,0,4,0.0
r3,12,12,3,0.0
r1,42,10,7,0.0
r2,37,15,5,0.0
r3,30,22,5,0.0
r1,12,11,2,0.0
r2,23,0,5,0.0
r3,20,3,4,0.0
r1,33,19,5,0.0
r2,31,21,4,0.0
r3,19,33,2,0.0
r1,24,12,7,0.0
r2,36,0,9,0.0
r3,22,14,5,0.0
r1,22,0,5,0.0
r2,3,19,1,0.0
r3,11,11,2,0.0
r1,39,2,8,0.0
r2,31,10,6,0.0
r3,21,20,4,0.0
r1,41,20,5,0.0
r2,38,23,4,0.0
r3,61,0,7,0.0
r1,31,5,7,0.0
r2,21,15,5,0.0
r3,30,6,7,0.0
r1,8,21,3,0.0
r2,25,4,5,0.0
r3,18,11,3,0.0
r1,12,6,3,0.0
r2,16,2,3,0.0
r3,18,0,4,0.0
r1,15,2,3,0.0
r2,15,2,3,0.0
r3,17,0,3,0.0
r1,16,9,3,0.0
r2,23,2,4,0.0
r3,25,0,5,0.0
r1,14,20,3,0.0
r2,19,15,3,0.0
r3,15,19,2,0.0
r1,10,11,4,0.0
r2,20,1,4,0.0
r3,21,0,5,0.0
r1,16,8,3,0.0
r2,20,4,4,0.0
r3,11,13,3,0.0
r1,33,2,5,0.0
r2,10,25,3,0.0
r3,15,20,4,0.0
r1,49,0,7,0.0
r2,34,15,5,0.0
r3,31,18,4,0.0
r1,18,2,4,0.0
r2,12,8,4,0.0
r3,13,7,3,0.0
r1,32,8,6,0.0
r2,40,0,7,0.0
r3,33,7,6,0.0
r1,31,14,5,0.0
r2,44,1,6,0.0
r3,35,10,6,0.0
r1,40,4,6,0.0
r2,28,16,6,0.0
r3,26,18,5,0.0
r1,15,2,4,0.0
r2,13,4,3,0.0
r3,7,10,3,0.0
r1,16,10,4,0.0
r2,17,9,4,0.0
r3,21,5,5,0.0
r1,27,8,3,0.0
r2,19,16,3,0.0
r3,16,19,2,0.0
r1,37,0,5,0.0
r2,26,11,3,0.0
r3,31,6,5,0.0
r1,33,6,6,0.0
r2,22,17,4,0.0
r3,39,0,7,0.0
r1,33,10,5,0.0
r2,16,27,4,0.0
r3,26,17,3,0.0
r1,24,21,4,0.0
r2,37,8,5,0.0
r3,45,0,7,0.0
r1,16,17,4,0.0
r2,30,3,6,0.0
r3,23,10,5,0.0
r1,15,14,3,0.0
r2,23,6,3,0.0
r3,29,0,5,0.0
r1,20,7,6,0.0
r2,15,12,4,0.0
r3,16,11,4,0.0
r1,34,21,6,0.0
r2,45,10,9,0.0
r3,39,16,6,0.0
r1,35,9,5,0.0
r2,41,3,5,0.0
r3,31,13,5,0.0
r1,39,5,6,0.0
r2,39,5,6,0.0
r3,34,10,5,0.0
r1,25,0,6,0.0
r2,23,2,4,0.0
r3,20,5,4,0.0
r1,15,7,3,0.0
r2,21,1,4,0.0
r3,21,1,3,0.0
r1,42,8,9,0.0
r2,39,11,7,0.0
r3,32,18,8,0.0
r1,14,12,3,0.0
r2,14,12,3,0.0
r3,26,0,4,0.0
r1,37,10,7,0.0
r2,32,15,5,0.0
r3,40,7,7,0.0
r1,36,18,5,0.0
r2,28,26,6,0.0
r3,50,4,8,0.0
r1,10,21,1,0.0
r2,19,12,3,0.0
r3,23,8,4,0.0
r1,31,0,5,0.0
r2,21,10,3,0.0
r3,27,4,4,0.0
r1,41,16,7,0.0
r2,27,30,4,0.0
r3,28,29,5,0.0
r1,47,12,8,0.0
r2,30,29,6,0.0
r3,45,14,7,0.0
r1,18,23,2,0.0
r2,41,0,5,0.0
r3,26,15,3,0.0
r1,42,0,7,0.0
r2,31,11,6,0.0
r3,38,4,6,0.0
r1,22,15,3,0.0
r2,17,20,5,0.0
r3,37,0,7,0.0
r1,24,12,4,0.0
r2,30,6,5,0.0
r3,31,5,4,0.0
r1,42,0,9,0.0
r2,25,17,6,0.0
r3,42,0,9,0.0
r1,18,0,5,0.0
r2,6,12,3,0.0
r3,10,8,4,0.0
r1,21,9,4,0.0
r2,22,8,4,0.0
r3,15,15,2,0.0
r1,27,16,6,0.0
r2,38,5,8,0.0
r3,22,21,6,0.0
r1,28,14,4,0.0
r2,33,9,5,0.0
r3,39,3,7,0.0
r1,37,17,7,0.0
r2,46,8,8,0.0
r3,25,29,5,0.0
r1,14,17,3,0.0
r2,31,0,5,0.0
r3,31,0,5,0.0
r1,5,24,3,0.0
r2,20,9,3,0.0
r3,26,3,5,0.0
r1,19,9,5,0.0
r2,27,1,7,0.0
r3,18,10,4,0.0
r1,14,8,3,0.0
r2,22,0,5,0.0
r3,11,11,3,0.0
r1,33,33,5,0.0
r2,54,12,7,0.0
r3,42,24,6,0.0
r1,8,14,2,0.0
r2,18,4,4,0.0
r3,9,13,3,0.0
r1,15,0,5,0.0
r2,12,3,3,0.0
r3,6,9,1,0.0
r1,40,7,6,0.0
r2,47,0,7,0.0
r3,39,8,6,0.0
r1,44,5,7,0.0
r2,13,36,3,0.0
r3,37,12,6,0.0
r1,42,4,8,0.0
r2,30,16,6,0.0
r3,46,0,8,0.0
r1,15,7,4,0.0
r2,8,14,2,0.0
r3,22,0,5,0.0
r1,41,10,6,0.0
r2,36,15,5,0.0
r3,32,19,5,0.0
r1,14,8,5,0.0
r2,21,1,6,0.0
r3,19,3,5,0.0
r1,14,19,3,0.0
r2,33,0,6,0.0
r3,16,17,3,0.0
r1,41,4,8,0.0
r2,33,12,5,0.0
r3,22,23,5,0.0
r1,39,10,7,0.0
r2,22,27,5,0.0
r3,30,19,5,0.0
r1,29,9,5,0.0
r2,13,25,2,0.0
r3,25,13,5,0.0
r1,15,16,3,0.0
r2,23,8,6,0.0
r3,23,8,5,0.0
r1,0,31,0,0.0
r2,20,11,3,0.0
r3,31,0,5,0.0
r1,33,6,4,0.0
r2,21,18,4,0.0
r3,22,17,3,0.0
r1,45,20,7,0.0
r2,55,10,8,0.0
r3,41,24,6,0.0
r1,37,11,6,0.0
r2,21,27,4,0.0
r3,42,6,7,0.0
r1,16,8,3,0.0
r2,15,9,3,0.0
r3,24,0,3,0.0
r1,28,4,5,0.0
