ID,Task,Simulation,Priority,Created,Start,Delay,Duration,Cost,Aborted,Resources
165105ad-5af6-4561-b60a-282ad984bef1,task1,sim4,1,0,0,0,10,0.0,false,r3
63fb06f3-646a-4529-b4db-4ce02c6acb49,task4,sim4,0,0,0,0,10,0.0,false,r3
175d77fd-eecd-45b9-b99a-fc8195b782a8,task5,sim4,-1,0,10,10,8,0.0,false,r1;r2;r3
3c012e34-befe-4eed-a659-d6f35fbce3ec,task2,sim4,0,10,10,0,1,0.0,false,r1;r2
6cb8c5f6-3b5d-418a-b9f1-cd5daa8dd0a5,task3,sim4,0,11,11,0,1,0.0,false,r1;r2
ddd26d2e-124e-43ac-b858-3d9840f54087,task6,sim4,0,18,18,0,1,0.0,false,r2
4b99f681-2f06-4d33-b90f-111525333fa3,task7,sim4,-1,19,19,0,10,0.0,false,r1;r2
b1567328-394e-4959-90a1-9d692f080cdb,task8,sim4,1,29,29,0,5,0.0,false,r3
e45c6ed1-44ba-4737-959c-c56bb4a3ab4a,task2,sim5,1,0,0,0,6,0.0,false,r1;r2
23e15ff7-9d41-4230-b7e8-b66c2e0d8e15,task5,sim5,-2,0,0,0,3,0.0,false,r1;r3
b25d7952-e3bf-41c9-8a53-1f6218bba291,task4,sim5,-1,0,3,3,2,0.0,false,r1;r3
13357cbe-1dbb-4873-8a60-255f5159887d,task6,sim5,0,5,5,0,7,0.0,false,r1
c0770c64-65bd-43eb-942b-cfe295469049,task3,sim5,1,6,6,0,9,0.0,false,r3
818abbea-1af3-43b8-9a3e-8861a34de149,task1,sim5,-2,0,6,6,1,0.0,false,r1;r2;r3
7d89e193-0db1-43a8-bc83-5a6626e27870,task7,sim5,-1,12,12,0,9,0.0,false,r1;r2
0d926c77-2f9c-4591-b2c3-bdadf2c2c6c0,task8,sim5,-2,21,21,0,3,0.0,false,r1;r3
cb65124c-be2e-4432-9e98-16081d4039da,task9,sim5,1,24,24,0,7,0.0,false,r2;r3
294bcf95-e55d-4845-a905-9bf84489719b,task10,sim5,-1,31,31,0,3,0.0,false,r2
0a6f6812-2ba8-4f69-aedd-8929a1b3f6de,task1,sim6,1,0,0,0,9,0.0,false,r2;r3
94e0ffc8-4ab2-4c31-9bf3-44133af88f53,task3,sim6,-2,0,0,0,9,0.0,false,r2;r3
4ba64f0c-7d39-46e9-be94-06078dd95b4c,task4,sim6,1,0,0,0,4,0.0,false,r1;r3
591415ab-5585-4cf0-b8de-1cc10215801e,task2,sim6,0,0,0,0,7,0.0,false,r3
6a0ab045-ead2-4ca0-b4e3-670d4e6a1215,task8,sim6,0,0,4,4,3,0.0,false,r1;r2;r3
d6373310-2b7d-4bcb-bdd4-6af07c98eaae,task7,sim6,0,0,9,9,1,0.0,false,r2;r3
3ac31a12-bb63-4cd0-ac74-121523004426,task5,sim6,-1,4,10,6,4,0.0,false,r1;r2;r3
44e669bf-ce52-4d3d-b960-2fb404f2941c,task6,sim6,-2,0,14,14,4,0.0,false,r1;r3
9bd267c8-1009-47ae-aa9f-f060e420115b,task1,sim7,0,0,0,0,10,0.0,false,r1;r2;r3
1059d4a5-a452-41d9-a32a-72c314746c1d,task5,sim7,0,0,10,10,1,0.0,false,r2;r3
